,Tweet_id,tweet
0,1251608623798722560,شوفوا هالأجنبي يبيع البيض للأجانب والسعودييين
1,1221535162539872256,ربما الموت يقترب مني وانا اشعر لطفك الله سكرة موتي خاتمتي حسنه الجنه
2,1252203833385779200,السلام عليكم لوسمحت تحديث ملف المنشأه
3,1221884276636938240,لقد نام تاركا حلمه ودائع الله فأيقظه الله نور الإجابة اللهم ونحن
4,1252686719461273602,طالبه طلبيه منكم ولحد ماوصلت
5,1221789385928183809,جميل جدآ اجمل شعور لمت الصحبات الجامعه
6,1141843796830896129,مــــ الخاصــ نتائج التحويل لجامعة القرى
7,1221882814225960961,مين الاعلاميين الاهلاويين بيظهرو برنامج ضروري ضروي شباب
8,1234939128820719617,الله شو هالمناعة الحلوة اللي عندي أبسط سفئة هوا تقلبات الجو بضيع فيا الله يبلينا كورونا
9,1242879482165370882,نشكر الشرطة المصرية لحماية البشرية فيروس كورونا
10,1221882258216443904,احح وربي طول المقطع وقلبي واقف خايف يصيرلهم شي
11,1253958712408125441,السلام عليكم أخي الكريم اريد اعرف العماله المعفاه المقابل المالي للمنشاه رقم
12,1147741075433566208,اروع اجمل الفعاليات للي حضرتها حقت موسم جدة لانها مره تقام الشرق الاوسط موسم جدة
13,1221836627170988033,مستنيه ربناا ينجحني اناا نسان بحبه ونفضل طول العمر
14,1250161616290746370,البلدية طلبوا مني تحديث بيانات السجل التجاري وزارة التجارة الرجاء التحديث لوسمحتم الله يعافيكم
15,1221883349469364224,اللهـم استجب لنا نعجز قوله يصعب علينا صياغته وأنت تعلمه اللهـم وتقبل دعوة ساكنة صدورنا نعلم نرفعها إليك
16,1190010705283563522,السلام عليكم سمحت اسقط ملكيه مركبات تالفه وشكرا لك
17,1245260578383368193,بنسحب ياعرب ربي الحلا وورق العنب والشاورما خاستلهاايام
18,1249745352393199621,اللهم صل وسلم يارسول الله اللهم الحافظ احفظ بلادنا وبلاد المسلمين كورونا الحرس الوطني تبوك
19,1146056614387974146,حاطين صور اللي بيجون إلا ذي
20,1245275451846778880,حولت لشخص حساب الخاص بنك الرياض شخص اخر مصرف الإنماء تصل
21,1221789152913580033,ناقش الحناء الكف فــوق الـنـقـش مـاهـو نـقـش بيض ايـادي النقش نقش الحب القلب يـاذوق وانـتـه نـقـشـت الـحب داخل فؤادي
22,1221786487441829888,قدر الله كبيرا قلبي وكثيرا عقلي
23,1254787940263186432,ياجماعه اعراض كورونا الكحه والم الصدر وضيق تنفس والم الظهر كورونا
24,1234941389395439616,تقارير صحفية إيطاليا تشير لاحتمال تأجيل الأحداث الرياضية البلاد لمدة يوما انتشار فيروس كورونا كبير
25,1145031295338254338,عندي مخالفات طريقة تخفض لي المبلغ
26,1224778615230955521,السلام عليكم احول شريحتي وانا شريحتي زين وكيف اسدد المديونيه
27,1146085163295809536,اظن انا الوحيد تابع موسم جده
28,1221780686362828801,المفروض مانستقبل ضيوف البرد وتصير العادات والتقاليد
29,1230269417931595777,أرض مجانيه الطايف وارغب تحويلها جده بإمكاني مراجعة فرعكم جده ام الطايف
30,1234038828035399681,الخير العقد التجاري بالإمكان اختيار تجديده تلقائيا سنوي
31,1221884873394225153,وش قمت احس بدوران راسي بسم الله
32,1251457380149329920,السلام عندي عامله منزليه نزلت المنشآه مكتب العمل وقدمت طلب يتم حل المشكله
33,1223395761796386822,انا طريقي لحذف التويتة
34,1221779936773640196,رئيس الوزراء اللبناني حسان دياب الاثنين حكومته تعرقل موازنة أعدتها حكومة سعد الحريري استقالت لبنان
35,1080068840795578368,اتمني اكتب التويته دي برا مصر امنيتي الوحيده السنه الجديده
36,1223397914233405440,الله يتم خير شاء الله يستاهل إيفانكا
37,1223395777273311233,سكت أهل الحق الباطل توهم أهل الباطل أنهم حق الامام ابي طالب
38,1245237076142043136,بندول ومره وغرغره وملح استربسل وفيتامين سي زنجبيل وليمون نعناع
39,1143327149925048320,طالعين نعسل تونا حركنا السياره ويجي سكران يشيلنا وجهيه بغى يركبنا لعن الله الطايف سكنها
40,1221784210517696512,فرجت الراااااوي دخيل لحظة لك البال طاري سجدة لك القلب دعوة
41,1221784192368988160,الله درك هزمت سعادتي وغلبتني درب الفراق مودعا وتركتني لبقيتي ورفاتي وبقيت املا متاملا واقول انك ات
42,1252672894477402112,سسو منشن لحساباتهم تغريدة عيالك يطلبونك ياملك سلمان
43,1252595635167035392,قطع النت بنص الاختبار الله يقطع روسكم
44,1080363694486368256,مدينه سعوديه تحبها احب جدتيييييي جدة اولا واخيرا واحب المدينة الحرم المدني تحديدا واحب المنطقة الشرقية لانها راقية
45,1245168116797181952,كورونا الجديد هياط ادووووول احلى فلم سعودي شفته ياريت يتم عرضه
46,1086344385204244480,مصر مكنتش جابت ابن وسخة ذيك هتبقى احسن بكتير والله
47,1221882710286880770,حاول يگون هدفگ الحياة نص الملعب عشان يگون هدف تاريخي
48,1234936133458546693,الواحد بقا عايز عربيات اللعبة تجيب الاكل مالمطبخ ههههه
49,1221782506191622144,تسعفني الكلمات تغرق أعماق اللغة محاولة اخبارك أحبك
50,1143232964182118400,مرحبا أبوي متوفي وأبي أصدر جواز سفر الطريقة
51,1221883649039179776,نشغل طاسو البيت الابيض عشان امريكة ترفع العقوبات
52,1223396094345928705,وسنين وانا بستناك عايش نار الشوق
53,1245230032764702720,أيش قدمت شركتكم للوطن حظر التجول ألغت سياسة الاستخدام العادل سيما الأماكن الغير مغطاة بالهاتف الثابت
54,1146130807150583809,يالله تعرفون ايش قلبي قاعد يتعصر
55,1221883748360376321,تخطو خطوة أحدهم يجب تعرف سيحارب معك ضدك النهاية
56,1151128207271157762,نيوم احس تويتر بيكون برعاية قبايل الشمال قبيله ترند ترحب ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
57,1080143030315827207,يارب شي حلو شي حلو متل امي اهلها مكة بصحبتهم جميعا يارب
58,1249110417793634304,ممكن اسم الاك اعمله بلووك ممكن عنوانه علشان ابعتله كورونا تخلص
59,1223396153867239430,حسنة الوحيدة علمني جدية العبارة المكتوبة مرآة السيارات
60,1224760983761059842,طلبت اشياء الموقع وصلت الباقي لسا مكتوب استلامها الساعي يومين ايش الوضع
61,1142141918215847936,اختي بتكمل ماجستير بجامعة كاوست واللي طبعا مو بجده وكل افتكر بتروح الشهر الجاي احزنننن
62,1250801369201729542,لكل معركه جنود وجنود كورونا أبطال الصحة حفظكم الله ورعاكم بـ الامن والامان وزارة الصحة
63,1221810529049763840,حتي وانت قاعد وسط اللمع والناس والهزار والضحك والصوت العالي والدوشه وكدا تلاقي حد معين دماغك مبيروحش لحظه
64,1250436686233735168,الدعاوى المرفوعة تتأخر أزمة كورونا رفعت دعوى بتاريخ والى جاني رد
65,1183046361710772224,السلام عليكم عدلت المرفقات اعرف الطلب الدراسه الاهلية
66,1251542430177988608,وقوفنا وطننا نفتخر ناخذ ترخيص دائم هيئه التخصصات الصحيه تصنيف دائم
67,1223398998104514561,انا دمي دا بيجري كرات دم بيضا وكرات دم حمرا وحبوب صداع
68,1113035913557368832,السلام عليكم ورحمة الله وبركاته ممكن استبدال رخصة القيادة لزوجتي علما الرخصة صادرة مصر
69,1226418841972019200,الخير اجد متعه لاتضاهيها متعه فالقرأه وةوب قهوه وجلسه خلوه شعور لايوصف اخر النهار اقرا كتب وقصص عالميه
70,1146850016679596034,نص ساعه تفصلنا الحفلة المنتظرة موسم جدة راشد الماجد جدة
71,1080528374920024069,ابي احول لابنك الانماء طريق مباشر
72,1250982581065089024,ارسلت لكم الخاص والعام لي ساعات انتظر ردكم
73,1221881393195646984,اللجوء الله أنها الطريقة الوحيدة للحصول الطمأنينة لاشيء يضاهي تشعر بالنور ينتشر صدرك لأنك رفعت يدك
74,1245198449030631424,ابي اتواصل خدمة العملاء عندي مشكله الحد الائتماني حق فاتورتي
75,1223397619843633154,اخ ضيقة بالصدر عيت تروح ماقلت طابت زادت جروح
76,1147010367954083845,فاتكم شئ باقي فعاليات جدة ومنوعه سينما عروض فنيه عروض المسرح والأمور كلها زينه وسعة صدر ولله الحمد موسم جدة
77,1221882520045871108,محمد يوسف سفيان الثوري يقيمنا الليل ويقول قوموا شباب صلوا دمتم شبابا تصلوا فمتى
78,1143282914244911109,ارجو الافاده الخاص ارسال المعلومات
79,1221784688303407104,فرجت الراااااوي دخيل خير الدنيا تزر خليلا ينظر إليك
80,1080458392857133056,انا سافرت برا مصر معظم مشاكلى هتتحل والله
81,1221836115033952257,وجهك زوايا غرفتي الصغيرة أصادف اسمك الهواء
82,1145520860796719105,ولن ينصلح الحال تتغير العقلية
83,1119381736583041024,أمر مرحلة ماأبغى أكلم أبغى يكلمني لحد ماأطلع
84,1221553030488829952,ماخلاك البرد تروق فأحسن الله عزاك نفسيتك
85,1223398732634447874,بسمع اصوات اطفال بتعيط بكون زعلانه والصوت بيبقي جاي جوا ودني
86,1255446290386870275,شراء جهاز تكييف والى يصل وتم رفع شكوى عبر بلاغ تجاري والى يتم انهاء الموضوع
87,1183058578728542209,عادي اقدر أقول إني معرف يوسف جازع بس شي يصير إستاد الملك فهد عظيم
88,1223395870164516864,كانوا بعيد احلي يارتني قربت
89,1183146597368193025,اتمنى التبليغ الحساب يدعي سعودية ابها حوثي
90,1227451694788771842,واضح اني راضي زحمة الرياض
91,1242907076197842951,الحمد الله الحالة رصدها ليبيا مصاب يتعافى شاء الله بصحة جيد
92,1145652836526485504,كنت مهرجان الطايف جد مدري مين المقدم ثقيل دم مسوي ظريف ينكت كبير السن لانه نيجيريا
93,1221881437500198912,عشقت الليل ونجومه بتشهد والقمر شاهد وانا وانت ستر الليل اعاهد وانت بتعاهد
94,1080262951674826752,مصر تستطيع فعلا بس مقلولناش تستطيع ايه بالظبط عشان عيب
95,1223423020024373251,احنا مرحلة اللامبالاة حاجة بتحصل حوالينا الرد علطول بكلمة عادي
96,1146550202209361922,الله يعني شكلهم راسمين يجيبون فرق كثير للرياض
97,1254326235368435712,السلام عليكم قرار تخفيض العاملين مصانع الانتاج بالميه كحد أقصى يزال ساري
98,1132109516286435334,الله واستغفرالله اله الله فايبر
99,1238802089184280576,نرجو معاليكم التحرك تطوير حي القيروان بالرياض الاناره والنظافه
100,1214822649794314240,تتحسس نبضي شأن لك مشاعري وإن لأجلك فـ أحبك قلبي يستشرني لـ ينتظر القبول الرفض منك
101,1212150248803643393,ليش انت بذات مريت بالي أنسى الناس واسرح بطاريك
102,1242864503332765699,مارديتو علينا كارونا الحين بتردون علينا الله يعين عليكم
103,1248042490885701632,السلام عليكم بغيت شريحة بدل فاقد احصل ايش الألية هذي الفترة
104,1223397664601055242,بتصل الشرطه وبهرب لغرفتي واقفل الباب
105,1253221870297665537,تعديل وقت التجول لمطعم السلام عليكم ورحمة الله وبركاته ارغب تعديل وقت التجوال ليتناسب شهر رمضان المبارك
106,1221883745717956608,اطيعي ابوك وراح يفتحها ربي وجهك
107,1248016018833719300,الكويت تتصدي لكورونا اللي فيهم كورونا وافدين الكويت شكو نتمى تتصدى حق فايروس الوافدين الأخطر عالصحه والأمن والغذاء
108,1143410784690745344,فايبر خلوها تجي بس واعطيكم ال كامله مو لازم عرض
109,1250769463647092738,يااهل المواشي شغلتونا أموركم واضحة اتركوهم شوي يردون علينا
110,1156643747616239616,الدكتور قالي تسوين رياضة خسارة مدري بكمل يومي بدون الورك آوت اليومي
111,1145486684953423872,مــــ الخاصــ السلام عليكم ممكن تسأل محلات جدة تبيع مسلزمات صناعة الشموع شمع خام معطرات قوالب الخ
112,1221788538120933377,شعبيات القصيم محمد اللافييي لاتحزن الله قادر إصلاح أفسده الآخرون قلبك
113,1223398074573377536,بس والله اتخطبو اهليهم تعرف
114,1245221922125885440,اغلب الحكومات والمعارضه كورونا وكأن الشعوب تقول عقابنا وغدا حسابكم
115,1223448487825674241,حسيت المواصل يذل النفس كابر ولو أنك الشوق ميت
116,1243289115057160194,شكرا سرعة انهاء وتوصيل وتفعيل خط جديد اقل ساعه فعلا خليك بالبيت
117,1080374426120699904,السلام عليكم انا مصر وكنت عاوز ورقة مهمة دبي وكنت عاوزها ضروري حد نازل بكره يخدها معاها اكون شاكر أفضالكم
118,1254720274915831808,السلام عليكم عندي منشاة وعليها اعفاء وعند التجديد يظهر المقابل المالي نرجوا الحل وشكرا لكم
119,1221778500442521600,ويلهم الله ربنا سخرها لنا لنستفيد لنسخر
120,1223398287467741191,تخاف عصبيتي خاف هدوئي
121,1221823497879588864,فههههههدننننننا عامك سعيد اجمل يبكي الإنسان والبسمة شفتيه يضحك والدمعه عينيه
122,1254514046130442240,السلام عليكم انا عندي سجل تجاري عامل نقلته شخص الرسوم ماهي تزود لعشره الااف
123,1223400623225409536,رسول الله عدوى طيرة ويعجبني الفأل قالوا وما الفأل كلمة طيبة رياض الصالحين
124,1223925115739688960,الله وبحمده خلقه ورضا وزنة عرشه ومداد كلماته الخطوط السعودية كورونا
125,1221818147004649472,جعله الجنه
126,1214294861966389248,تطبيق الجديد تصميمه معقد وغير واضح ولونه كئيب نرجو النظر الألوان وخصوصا الخلفية الزرقاء مزعجة الإعلانات الموجودة
127,1221803553334931456,سلام عليكم اخوي عندكم وظايف مدينة ينبع
128,1252642813382180864,السلام عليكم انا موظف قطاع خاص والي يومنا يتم تسليم راتب شهر ماهو الحل افيدونا وشكرآ
129,1223445628333776896,أتمنى ممر بيننا
130,1183085775153434625,أيام موسم الرياض النت زي الخرااا دائما تثبت شركة الاتصالات واذا كثرت مداخيلك لايعني انك شركة ناجحة ومحترمة
131,1221787653252829184,حبك اللي سطى قلبي وحافني حوف
132,1230919734490812418,تقدمت باعتراض شهرين تتم معالجته مالحل
133,1254851900303986692,السلام عليكم تسجيل طلب لترقيم الابل شهور والى يتم التواصل معي أرجو الافاده
134,1239472088626401281,الكويت شفاء حالات جديده كورونا ليرتفع خالات الشفاء حاله
135,1242840880685420544,معاج اربعه شاورما وجيت اخذت منج شكثر بقى معاج اربعه شاورما وجثة
136,1221779414050115585,الحياه بتصير افضل بثلاث مرات الشخص يقدر يختار شي حياته ابتلاينا شي يحصل لنا بمحظ الصدفه والحظ
137,1080390309056561152,ناس والله جدة زحمة طبيعي
138,1245164547012472834,كورونا ماقدر يفكنا فور ديل الله يحرقهم
139,1224422998234615809,وزير العدل الصورة تتطبق رسوم الاراضي البيضاء نبي نشتري ارض ونسكن الحل هرمنا
140,1223398389984976896,الملل نزلت لودو قاعد العب
141,1254144270354743298,السلام عليكم ألية اصدار تصاريح العمل للمكاتب الهندسية الإستشارية وقت الحظر المشاريع الخاصة كالفنادق
142,1247952924656926720,بقينا هيك بكورونا وبلا كورونا يغير الله بقوم يغيروا بأنفسهم
143,1113414122035609600,اخوي جاتني مخالفه تجاوز سرعه والمفروض
144,1248060351964479495,افتح عينك وش فيهم حساب المواطن منقصين المبلغ بس انا الجميع
145,1237825543451693056,طلاب الكامل بلا نت شوف لنا حل عاجل تعلمينا متوقف النت
146,1223396479227830272,حسون تحليل عميق اصغر ببرشة اني ثمنت موقفها وقت الانتخابات
147,1145941883748851712,ترى انتظر رتويت كت تويت لتغريدة موسم جده سوبر جونيور
148,1221658746398658560,لست انهزاميا ولكني أبحث الحقيقة كثير كنت أسمعه منابر التوعية والإرشاد الغرب يكن صحيحا
149,1211204389039411202,مابكرهش حياتي الشخص إللي بيحبطنى حاجه متحمس ليها
150,1223396617186873344,سنكتفي ببعض ولن نكتفي
151,1221881044833636352,واجهة المبارزة السعودية الله يرجعك لـ عائلة المبارزة السعودية بالسلامة ربي يحفظك لأهلك وأحبابك
152,1232895779624357890,استطيع جدولة القرض العقاري التقاعد علما البنك يقول يلغى الدعم جدولت القرض
153,1242906409441931268,عاجل وزارة الداخلية نقاط أمنية لمنع خروج مواطن مقيم منطقة آخرى السعودية الداخلية كورونا
154,1242882141429563395,وزي فرجت وانقضت فترة صراصير الليل بتنفرج وتنقضي كورونا باذن الله ربنا رحمته وسعت شيء
155,1248054759937974273,يارب لك الحمد الشكر نعمك حساب المواطن
156,1221780613415481344,بحب بساطة محمد التعليق وبكره أفورة الشوالي فهد العتيبي انما حفيظ الدراجي رؤوف خليف دول ناس فرحانة بصوتها مش معلقين أساسا
157,1223403947160895488,واخشى ينقضي عمري وما اعددت شيئا للقائك ربي اللهم اجعل مرادي يرضيك واصرف قلبي مالا يرضيك
158,1248057847797121026,يعتبر فايروس كورونا جائحة فماذا يعتبر مرض التصلب اللويحي يوميات متصلب التصلب اللويحي التصلب المتعدد
159,1080500846847234048,مصر شخص دفع جنية هيبقي معانا جنية وزعناهم الشعب المصري هياخد جنية
160,1223396833696849921,هتموت البيض
161,1080447437154725889,يلا حبايبي اللي تجيه مخالفه يستخدم المود حقي يجيه خصم عالمخالفه رتويت عشان يستفيد غيرك
162,1080199331481903104,ارضنا وبراحتنا واللي مش عاجبه يخبط دماغه الحيط
163,1221783521431302146,ثانيه كده انتوا بتجيبوا منين وقت وطاقه تتدخلوا حياة الناس دانا مش قادره اتدخل حياتي الشخصيه وسايباها ماشيه بالبركه كده
164,1145582408223379456,موسم حدة هالسنة اعطانا روح السعادة الفرح اتمنى نقل التجربة مناطق المملكة المختلفة موسم جدة
165,1221789579285618690,أستطيع إخبارك بكل الأحداث الكبيرة تحدث يومي أستطيع إخبارك بأمر صغير يحدث قلبي لك
166,1221788124927483907,ونعم بالله الحمدلله حال الحمدلله شيء
167,1143495552505720832,تخيل فلسطيني يقلك انا اكره مكة والمدينة تسأله ليه يقلك ياخي السعوديين كريهين المنطق الاعوج سعودي يتبرع لاسرائيل
168,1226408462508339201,يطاوعك قلبك وماتقولي الخير
169,1229135832482754560,انا مرسله خطاب للأمير محمد ابي ارض منحة وللحين جاني شيء وش السوات اعرف لوين وصلت المعاملة
170,1223397272181968898,ليتني عرفت اخر لقى ليتني تأملتك ومارمش لي جفن ليتني بحضنك قلت ابغفى اببقى ليتني لحظتها ماصابني خجل
171,1254371509117825024,ارجو تحديث عامل انزاله قبلكم فرع مستقدم
172,1248023080275972101,انتو أسوأ خدمه انترنت موجوده المملكه وكل الاحترام والتقدير لشركه
173,1223396200910675968,التفكير بيت الخلاء يجيب افكار چدي
174,1132389680262074369,فايبر افضل حساب تابععععووووه عنده مسابقات بطلهه
175,1254749820440502273,رقم يرد طلبية وصلت وشكوى قفلتوها بدون تواصل ودراهم راحت وش الحل
176,1223398487267606528,رحم ربه ميرو
177,1241161152505282560,تقرير الاستخبارات الامريكية حذرت وفبراير خطر كورونا العالمي الإدارة الأمريكية تكترث
178,1221750156531507203,محدش ينكر الرجالة متفوقين الستات حاجة مقدمتها النسونة
